"gene_id","transcript_id.s.","length","effective_length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000077232.17","ENST00000264065.11,ENST00000418559.5,ENST00000444005.1,ENST00000459930.1,ENST00000469118.5,ENST00000491074.5,ENST00000494462.1,ENST00000537515.5,ENST00000613960.1,ENST00000616986.4,ENST00000640034.1",2902.24,2661.46,-4.34,11.56,-3.10079594971956,0.0257116657335645,0.552958268703326,-4.58933622409514
"ENSG00000071539.13","ENST00000166345.7,ENST00000508430.1,ENST00000508456.1,ENST00000509210.1,ENST00000510412.5,ENST00000512024.5,ENST00000513435.1",2264.27,2023.63,-5.33666666666667,13.6216666666667,-3.06782867205908,0.0267141844651878,0.552958268703326,-4.5893940377763
"ENSG00000119314.15","ENST00000210227.4,ENST00000334318.10,ENST00000343327.6,ENST00000374255.6,ENST00000374257.5,ENST00000450374.1,ENST00000458258.5,ENST00000487997.1",6814.66,6573.88,-4.19333333333334,7.16666666666667,-3.06247358991746,0.0268811122717509,0.552958268703326,-4.58940352196067
"ENSG00000201998.1","ENST00000365128.1",182,1.74,3916.72,9416.69,3.00589911926466,0.02871748805743,0.552958268703326,-4.58950533251605
"ENSG00000184678.10","ENST00000369155.3",2194,1953.22,-16.6366666666667,20.655,-2.989463686051,0.0292768480506666,0.552958268703326,-4.5895354687218
"ENSG00000124226.10","ENST00000244061.5,ENST00000622920.1,ENST00000622999.3,ENST00000623528.3,ENST00000623732.3,ENST00000624620.1,ENST00000624666.1,ENST00000625177.3",1489.9,1249.13,-6.81666666666667,19.885,-2.9733206503087,0.0298380750141775,0.552958268703326,-4.5895653171703
"ENSG00000274267.1","ENST00000621411.1",411,170.79,-216.593333333333,420.673333333333,-2.97302518744815,0.0298484578680894,0.552958268703326,-4.5895658657857
"ENSG00000134758.13","ENST00000257190.9,ENST00000261593.7,ENST00000577999.1,ENST00000578107.5,ENST00000578914.1,ENST00000580499.1,ENST00000580519.1,ENST00000583733.1,ENST00000585103.5",1951.22,1710.49,-3.32666666666667,6.94,-2.96042558419687,0.0302949779653976,0.552958268703326,-4.58958933816096
"ENSG00000197153.4","ENST00000359303.3,ENST00000479986.1",411.99,171.78,-86.8366666666667,127.551666666667,-2.95283383175671,0.0305676030420995,0.552958268703326,-4.58960355445618
"ENSG00000260549.1","ENST00000565768.1,ENST00000566367.1",411,170.79,-11.5366666666667,24.7716666666667,-2.94524230700895,0.0308429464222691,0.552958268703326,-4.58961782564399
"ENSG00000272196.2","ENST00000607355.2",564,323.25,-364.146666666667,569.07,-2.94153449854111,0.0309784278048752,0.552958268703326,-4.58962481605637
"ENSG00000277224.2","ENST00000356530.5",1196,955.22,-18.9,30.11,-2.93215355610536,0.031324160952008,0.552958268703326,-4.58964256141503
"ENSG00000168000.14","ENST00000278893.11,ENST00000301781.10,ENST00000360796.9,ENST00000403098.6,ENST00000403550.5,ENST00000405837.5,ENST00000407022.7,ENST00000412351.1,ENST00000413908.1,ENST00000421906.5,ENST00000448568.6,ENST00000449636.5,ENST00000463679.5,ENST00000464544.1,ENST00000468505.5,ENST00000470529.5,ENST00000524862.5,ENST00000525000.5,ENST00000526426.1,ENST00000528874.1,ENST00000530009.1,ENST00000530900.1,ENST00000531524.5,ENST00000532115.5,ENST00000532818.5,ENST00000533982.1,ENST00000537604.5",1029.76,789.08,-3.39666666666667,11.0416666666667,-2.91742816429279,0.0318755275613644,0.552958268703326,-4.58967058855125
"ENSG00000083845.8","ENST00000196551.7,ENST00000596046.1,ENST00000596314.5,ENST00000598098.5,ENST00000598495.5,ENST00000598807.1,ENST00000599232.1,ENST00000599909.1,ENST00000601521.5",742.3,501.53,-119.986666666667,349.4,-2.89978001876116,0.0325505517030211,0.552958268703326,-4.58970445709855
"ENSG00000100129.17","ENST00000381683.10,ENST00000406934.5,ENST00000412331.6,ENST00000414316.5,ENST00000436452.6,ENST00000439997.5,ENST00000450376.1,ENST00000451427.1,ENST00000460638.1,ENST00000464790.1,ENST00000476955.5,ENST00000477256.5,ENST00000482600.5,ENST00000624234.3",1303.41,1063.13,-27.4633333333334,76.725,-2.89338490002445,0.0327990554051514,0.552958268703326,-4.58971680531711
"ENSG00000180573.9","ENST00000314088.6,ENST00000377791.3,ENST00000602637.1",1654,1413.22,-26.22,44.8666666666667,-2.88937217504597,0.032956055577418,0.552958268703326,-4.58972457396035
"ENSG00000011007.12","ENST00000418390.6,ENST00000487554.1,ENST00000609199.1,ENST00000613537.4",3695.09,3454.31,-3.99333333333334,8.39,-2.87955011023063,0.033343871655063,0.552958268703326,-4.58974365653037
"ENSG00000173674.10","ENST00000379593.1,ENST00000379607.9",2824.36,2583.58,-8.00333333333333,13.7483333333333,-2.87764475257671,0.0334196865646239,0.552958268703326,-4.58974736935671
"ENSG00000135821.17","ENST00000311223.9,ENST00000331872.10,ENST00000339526.8,ENST00000417584.6,ENST00000461447.1,ENST00000462444.1,ENST00000463851.6,ENST00000475808.5,ENST00000480604.5,ENST00000484996.5,ENST00000489818.5,ENST00000491322.1",1638.15,1397.37,-21.9766666666667,50.875,-2.87199675569661,0.0336455455034162,0.552958268703326,-4.58975839632098
"ENSG00000028839.9","ENST00000237264.8,ENST00000367869.1,ENST00000367871.5,ENST00000416965.5,ENST00000457715.1,ENST00000477527.1,ENST00000481694.1,ENST00000613034.4",1076.93,836.15,-4.22666666666667,7.87666666666667,-2.86525276278664,0.03391744706268,0.552958268703326,-4.58977160456411
"ENSG00000125656.8","ENST00000245816.8,ENST00000594780.1,ENST00000596070.1,ENST00000596149.5,ENST00000596605.1,ENST00000597326.5",1122.7,881.92,-5.31666666666667,13.6683333333333,-2.86308540558274,0.0340053449889621,0.552958268703326,-4.58977585898386
"ENSG00000159111.12","ENST00000290208.11,ENST00000351111.6,ENST00000414011.1,ENST00000421763.5,ENST00000423147.1,ENST00000466016.5,ENST00000480901.1",1591.37,1350.59,-3.83666666666667,10.315,-2.85178225205385,0.034467849130642,0.552958268703326,-4.58979812248698
"ENSG00000149925.17","ENST00000338110.9,ENST00000395240.7,ENST00000395248.5,ENST00000412304.6,ENST00000562168.5,ENST00000562240.1,ENST00000562302.1,ENST00000562679.5,ENST00000563060.6,ENST00000563987.5,ENST00000564521.6,ENST00000564546.5,ENST00000564595.6,ENST00000564688.1,ENST00000565355.1,ENST00000566012.1,ENST00000566130.1,ENST00000566146.1,ENST00000566280.1,ENST00000566846.5,ENST00000566897.5,ENST00000567249.1,ENST00000567555.1,ENST00000568435.5,ENST00000569545.5,ENST00000569798.5,ENST00000575627.5,ENST00000627059.2,ENST00000636698.1",1100.2,859.43,-91.2866666666667,299.9,-2.85158243751683,0.0344760874727905,0.552958268703326,-4.5897985172046
"ENSG00000184270.4","ENST00000331128.4",393,153.06,-38.26,77.49,-2.85045836232455,0.0345224736050233,0.552958268703326,-4.58980073847003
"ENSG00000012061.15","ENST00000013807.9,ENST00000300853.7,ENST00000340192.11,ENST00000423698.6,ENST00000587888.5,ENST00000588300.1,ENST00000588738.5,ENST00000589165.5,ENST00000589214.1,ENST00000589381.5,ENST00000590701.5,ENST00000591636.5,ENST00000592023.5,ENST00000592083.5,ENST00000592410.5,ENST00000592444.5,ENST00000592905.5",1434.45,1193.7,-6.01666666666667,18.4183333333333,-2.84877565297218,0.0345920413127329,0.552958268703326,-4.58980406600771
"ENSG00000187446.11","ENST00000334660.9,ENST00000392151.6,ENST00000558351.5,ENST00000560397.5,ENST00000560411.5,ENST00000560633.1,ENST00000560784.5,ENST00000560965.1,ENST00000561280.5",3215.52,2974.74,-4.63,10.745,-2.84622231299465,0.0346978992796438,0.552958268703326,-4.58980912062693
"ENSG00000171453.17","ENST00000304004.7,ENST00000372344.6,ENST00000372389.7,ENST00000423780.1,ENST00000428025.6,ENST00000455605.2,ENST00000481352.6,ENST00000488601.6,ENST00000512472.5",905.5,664.93,-5.22000000000001,15.8933333333333,-2.83175955844422,0.0353043006255417,0.552958268703326,-4.58983787487284
"ENSG00000173744.17","ENST00000310078.12,ENST00000373671.7,ENST00000409171.5,ENST00000409315.5,ENST00000409979.6,ENST00000456594.1,ENST00000458212.1,ENST00000486932.1",2718.98,2478.2,-5.84,17.7133333333333,-2.8255509580653,0.0355682002472096,0.552958268703326,-4.58985028321709
"ENSG00000180596.7","ENST00000314332.5,ENST00000396984.1",571.07,330.31,-146.45,271.501666666667,-2.82052583422952,0.0357833903533178,0.552958268703326,-4.58986035483367
"ENSG00000137814.10","ENST00000260372.7,ENST00000391623.8,ENST00000562398.5,ENST00000563479.5,ENST00000564279.5,ENST00000567640.5,ENST00000568846.6,ENST00000568876.5,ENST00000570178.1,ENST00000607467.1,ENST00000639412.1",2103.58,1862.96,-4.09,9.12833333333333,-2.81314347915464,0.0361021340014618,0.552958268703326,-4.5898751973514
"ENSG00000131462.7","ENST00000251413.7,ENST00000588056.1,ENST00000589613.1,ENST00000589688.1,ENST00000591509.5",1577.42,1336.64,-6.31000000000001,21.6316666666667,-2.80972806223489,0.0362506581849167,0.552958268703326,-4.58988208290803
"ENSG00000075624.13","ENST00000331789.9,ENST00000414620.1,ENST00000417101.1,ENST00000425660.5,ENST00000432588.5,ENST00000443528.5,ENST00000462494.5,ENST00000464611.1,ENST00000473257.1,ENST00000477812.1,ENST00000480301.1,ENST00000484841.5,ENST00000493945.5",1884.38,1643.6,-124.956666666667,386.528333333333,-2.80718819189153,0.0363615449368098,0.552958268703326,-4.58988721103637
"ENSG00000283149.1","ENST00000418776.1",501,260.31,-2.93666666666667,3.20833333333333,-2.8009125700186,0.0366371360024139,0.552958268703326,-4.58989991001981
"ENSG00000163597.14","ENST00000448136.5,ENST00000493536.5,ENST00000586846.1,ENST00000586942.5,ENST00000587743.1,ENST00000587838.1,ENST00000590435.5,ENST00000591956.1",1707.36,1466.59,-27.2233333333334,54.9416666666667,-2.7990089913444,0.036721185400159,0.552958268703326,-4.58990376993284
"ENSG00000130429.12","ENST00000252725.9,ENST00000414376.5,ENST00000417330.5,ENST00000418347.6,ENST00000427217.5,ENST00000429246.5,ENST00000431816.5,ENST00000432343.1,ENST00000443222.5,ENST00000445924.5,ENST00000451682.5,ENST00000455009.5,ENST00000458033.5,ENST00000463078.1,ENST00000468337.1,ENST00000474880.5,ENST00000481997.5,ENST00000484375.5,ENST00000484600.6,ENST00000491294.1,ENST00000493403.1",1091.34,850.57,-8.19333333333334,33.3366666666667,-2.79285356535835,0.0369944263052212,0.552958268703326,-4.58991627672507
"ENSG00000158373.8","ENST00000289316.2,ENST00000377777.5",496.49,255.81,-161.5,283.953333333333,-2.79060530661988,0.0370947851213536,0.552958268703326,-4.5899208544765
"ENSG00000116455.13","ENST00000235090.9,ENST00000449340.1,ENST00000459665.1,ENST00000497278.5",2259.96,2019.18,-3.37666666666667,9.92833333333333,-2.77501534215995,0.0377990037422095,0.552958268703326,-4.58995274041507
"ENSG00000126267.8","ENST00000246554.7,ENST00000392201.1,ENST00000590618.1,ENST00000592141.5",658.64,418.01,-21.95,53.9316666666667,-2.7633902027648,0.0383337071923866,0.552958268703326,-4.58997668009797
"ENSG00000171490.12","ENST00000355674.9,ENST00000396503.7,ENST00000570767.5,ENST00000571133.5,ENST00000571988.5,ENST00000572090.5,ENST00000573029.1,ENST00000573251.5,ENST00000573618.5,ENST00000573791.1,ENST00000574287.1,ENST00000574823.5",1494.65,1253.9,-10.8766666666667,21.085,-2.75731967810598,0.038616227661998,0.552958268703326,-4.58998923669616
"ENSG00000235162.8","ENST00000443585.5,ENST00000546866.1,ENST00000548336.1,ENST00000548458.6,ENST00000549893.5,ENST00000549934.2,ENST00000552457.1,ENST00000612117.4",1113.5,872.72,-4.53666666666667,8.095,-2.75555535588837,0.0386987677472471,0.552958268703326,-4.58999289327953
"ENSG00000219200.11","ENST00000546395.5,ENST00000548577.5,ENST00000549393.2,ENST00000552039.2,ENST00000552176.2,ENST00000552321.2,ENST00000552842.1,ENST00000570898.1,ENST00000575822.5,ENST00000593646.5",618.03,377.27,-8.23,25.5183333333333,-2.7472768348035,0.0390886607973481,0.552958268703326,-4.59001009381007
"ENSG00000119705.9","ENST00000238688.9,ENST00000553981.1,ENST00000554074.1,ENST00000555890.5,ENST00000556310.1,ENST00000556375.5,ENST00000556831.5,ENST00000556956.1,ENST00000557342.5,ENST00000557431.5,ENST00000557623.5,ENST00000613856.4",406.59,166.55,-34.3266666666667,82.8733333333333,-2.74539129073124,0.0391780668280483,0.552958268703326,-4.59001402142787
"ENSG00000116221.15","ENST00000336230.10,ENST00000360840.9,ENST00000398219.2,ENST00000487096.5,ENST00000490670.1,ENST00000605337.5",1474.7,1233.92,-9.91666666666667,23.3016666666667,-2.74359728829697,0.0392633410113784,0.552958268703326,-4.5900177618007
"ENSG00000116752.5","ENST00000369541.3,ENST00000485021.1",1296.99,1056.21,-6.04,13.4033333333333,-2.73971227359237,0.0394487072794798,0.552958268703326,-4.59002587329173
"ENSG00000101255.10","ENST00000217233.7,ENST00000422053.3,ENST00000449710.5,ENST00000615226.4",2392.08,2151.3,-4.91,13.8516666666667,-2.73903445760818,0.0394811464495517,0.552958268703326,-4.59002729011154
"ENSG00000242372.6","ENST00000374436.7,ENST00000374443.7,ENST00000374450.7,ENST00000415116.1,ENST00000440766.5,ENST00000447927.6,ENST00000456600.1,ENST00000462894.1,ENST00000621148.4",1110.15,869.37,-27.4466666666667,78.24,-2.73853425681747,0.039505104044643,0.552958268703326,-4.59002833597482
"ENSG00000233822.4","ENST00000396980.4,ENST00000449538.3,ENST00000606613.1,ENST00000612898.1",871.38,630.67,-15.56,27.1966666666667,-2.72883093835374,0.0399730285929833,0.552958268703326,-4.59004867625683
"ENSG00000105887.10","ENST00000393085.3,ENST00000435723.1",3172.69,2931.91,-8.83333333333334,17.44,-2.72656732355542,0.0400830609236195,0.552958268703326,-4.59005343546606
"ENSG00000142546.13","ENST00000339093.7,ENST00000593345.1,ENST00000594932.5,ENST00000596358.5,ENST00000596477.1,ENST00000598296.5,ENST00000598544.1,ENST00000598550.5,ENST00000598820.5,ENST00000598839.1,ENST00000599425.5,ENST00000599537.5,ENST00000600019.5,ENST00000601015.5,ENST00000601107.1,ENST00000601340.5",1014.99,774.21,-6.28,20.5,-2.7240956490304,0.0402035869044467,0.552958268703326,-4.59005863825249
"ENSG00000104823.8","ENST00000221418.8,ENST00000594164.5,ENST00000594391.5,ENST00000595470.1,ENST00000595567.1,ENST00000596118.1,ENST00000597089.5,ENST00000597205.1,ENST00000597805.1,ENST00000598316.5,ENST00000598707.5,ENST00000600178.5,ENST00000601060.5,ENST00000601094.5,ENST00000601333.1,ENST00000601778.5,ENST00000602115.1",1219.39,978.62,-3.54666666666667,10.48,-2.72237190408463,0.0402878772183506,0.552958268703326,-4.5900622704677
"ENSG00000169976.6","ENST00000367569.3",693,452.22,-13.0733333333333,36.62,-2.71557847356352,0.0406219669549773,0.552958268703326,-4.59007661573886
"ENSG00000091542.8","ENST00000399138.4,ENST00000490106.1,ENST00000541285.1",2740.79,2500.01,-4.56666666666667,10.4066666666667,-2.711753722479,0.0408113991145748,0.552958268703326,-4.5900847135926
"ENSG00000278677.1","ENST00000359611.3",393,153.06,-82.68,168.476666666667,-2.71161740201257,0.0408181686593153,0.552958268703326,-4.59008500249789
"ENSG00000111348.8","ENST00000228945.8,ENST00000535676.1,ENST00000536592.5,ENST00000539131.1,ENST00000541380.5,ENST00000541546.5,ENST00000541644.5,ENST00000542276.1,ENST00000545895.5",1249.7,1008.92,-4.83333333333334,7.07333333333333,-2.70694065106239,0.0410511595509192,0.552958268703326,-4.59009492584692
"ENSG00000278272.1","ENST00000612966.1",411,170.79,-211.59,339.765,-2.70382736725007,0.041207068914297,0.552958268703326,-4.5901015445537
"ENSG00000247077.6","ENST00000317555.6,ENST00000454808.2,ENST00000498926.6,ENST00000543955.5",2474.19,2233.41,-6.05,14.6483333333333,-2.70030940414931,0.041384026194037,0.552958268703326,-4.5901090359145
"ENSG00000138382.14","ENST00000260953.9,ENST00000308099.7,ENST00000392640.6,ENST00000409340.5,ENST00000409837.5,ENST00000409965.5,ENST00000410097.5,ENST00000442181.5,ENST00000471560.1,ENST00000484351.1,ENST00000537825.5,ENST00000538491.1",841.54,600.76,-5.64,14.0333333333333,-2.69361086153839,0.0417232786123139,0.552958268703326,-4.59012333639588
"ENSG00000274290.2","ENST00000614097.2,ENST00000634910.1",501.29,260.6,-30.69,56.4483333333333,-2.6929847096889,0.0417551460156514,0.552958268703326,-4.5901246755745
"ENSG00000173915.14","ENST00000309579.7,ENST00000337003.4,ENST00000369811.5,ENST00000369815.5,ENST00000369825.5",377.83,138.54,-49.86,121.65,-2.69291249665769,0.0417588229450201,0.552958268703326,-4.59012483004643
"ENSG00000070831.15","ENST00000315554.12,ENST00000344548.7,ENST00000400259.5,ENST00000411827.1,ENST00000498236.1",2007.46,1766.68,-21.9333333333333,43.2366666666667,-2.69224064078971,0.0417930493929023,0.552958268703326,-4.590126267488
"ENSG00000275713.2","ENST00000619466.2",2060,1819.22,-9.84000000000001,15.3766666666667,-2.69123922622578,0.0418441216873672,0.552958268703326,-4.59012841091184
"ENSG00000275714.1","ENST00000613854.1",411,170.79,-66.0633333333334,104.358333333333,-2.690984165903,0.0418571407314495,0.552958268703326,-4.59012895701194
"ENSG00000136104.19","ENST00000336617.7,ENST00000422660.5,ENST00000459681.2,ENST00000465541.1,ENST00000495244.6,ENST00000611510.5,ENST00000613449.4,ENST00000616907.1,ENST00000621641.1,ENST00000636524.1,ENST00000637648.1",1169.43,928.89,-3.74333333333333,8.78833333333333,-2.68945954422921,0.0419350546468614,0.552958268703326,-4.5901322227618
"ENSG00000112667.12","ENST00000230431.10,ENST00000393987.2,ENST00000505042.1,ENST00000509253.5",677.54,436.77,-4.69333333333334,14.4233333333333,-2.68724477221051,0.0420485211724027,0.552958268703326,-4.59013697121407
"ENSG00000112335.14","ENST00000230085.12,ENST00000349379.5,ENST00000368979.6,ENST00000426155.6",1431.98,1191.2,-8.41666666666667,18.525,-2.68644521593732,0.0420895664214525,0.552958268703326,-4.59013868673572
"ENSG00000163170.11","ENST00000295326.4,ENST00000327428.9,ENST00000469676.1,ENST00000477685.5,ENST00000484655.1",588.51,347.83,-7.59,16.2783333333333,-2.68460652993457,0.0421841221099218,0.552958268703326,-4.59014263438325
"ENSG00000275379.1","ENST00000616365.1",411,170.79,-32.58,51.98,-2.68357759822478,0.0422371371852724,0.552958268703326,-4.59014484506157
"ENSG00000111481.9","ENST00000262061.6,ENST00000455864.6,ENST00000548076.5,ENST00000548281.5,ENST00000548753.1,ENST00000549043.5,ENST00000549116.5,ENST00000550027.5,ENST00000550171.5,ENST00000550713.1,ENST00000551412.5,ENST00000551779.5,ENST00000551962.5,ENST00000552218.5,ENST00000552362.5,ENST00000552848.5,ENST00000553009.5,ENST00000553231.5",1514.44,1273.66,-8.80000000000001,17.5933333333333,-2.6807984862406,0.0423806944440078,0.552958268703326,-4.59015082166214
"ENSG00000125148.6","ENST00000245185.5,ENST00000561491.1,ENST00000562017.1,ENST00000563985.1,ENST00000567300.1",783.2,542.43,-203.973333333333,389.056666666667,-2.67757180263708,0.0425480423331047,0.552958268703326,-4.5901577710989
"ENSG00000213281.4","ENST00000369535.4",4449,4208.22,-4.74666666666667,7.81333333333333,-2.67042521338303,0.0429212737507991,0.552958268703326,-4.59017320250385
"ENSG00000278705.1","ENST00000377745.3",438,197.54,-159.953333333333,246.013333333333,-2.67011205686304,0.0429377101715306,0.552958268703326,-4.59017387993933
"ENSG00000181218.5","ENST00000366695.3",895,654.22,-7.30666666666667,11.4,-2.66996688429925,0.0429453320770813,0.552958268703326,-4.59017419401924
"ENSG00000062582.13","ENST00000317534.5,ENST00000414932.1,ENST00000418740.5,ENST00000467084.1,ENST00000483330.1",712.08,471.31,-12.5233333333333,34.3483333333333,-2.66947565158374,0.0429711339540406,0.552958268703326,-4.59017525696504
"ENSG00000160131.13","ENST00000330374.6,ENST00000370361.5,ENST00000477649.1",4717,4476.22,-7.48333333333334,11.985,-2.66908751246817,0.0429915328682976,0.552958268703326,-4.59017609701576
"ENSG00000167862.9","ENST00000301585.9,ENST00000580800.1,ENST00000583772.1,ENST00000584208.5",875.47,634.69,-5.71666666666667,16.1416666666667,-2.66841158095736,0.0430270822187425,0.552958268703326,-4.59017756032069
"ENSG00000274997.1","ENST00000377459.2",387,147.18,-148.346666666667,288.99,-2.65327817080968,0.0438314792535591,0.552958268703326,-4.5902104502337
"ENSG00000176946.11","ENST00000321679.4,ENST00000402136.5,ENST00000402545.5,ENST00000407315.5,ENST00000497486.1,ENST00000612200.1",1971.88,1731.1,-2.83,8.09166666666667,-2.65258493690798,0.0438687192659558,0.552958268703326,-4.59021196274152
"ENSG00000162910.18","ENST00000295008.8,ENST00000336300.9,ENST00000336520.7,ENST00000348259.9,ENST00000366731.9,ENST00000366732.5,ENST00000366733.5,ENST00000366734.5,ENST00000366735.5,ENST00000366736.5,ENST00000366738.5,ENST00000366739.5,ENST00000366740.5,ENST00000366741.5,ENST00000366742.5,ENST00000366744.5,ENST00000366746.7,ENST00000366747.7,ENST00000391867.7,ENST00000411464.3,ENST00000430433.5,ENST00000457264.5,ENST00000459783.5,ENST00000464148.2,ENST00000465268.1,ENST00000473066.5,ENST00000475832.1,ENST00000476267.1,ENST00000483159.1,ENST00000489430.1,ENST00000492170.1,ENST00000495434.1,ENST00000495899.1,ENST00000497758.1",672.15,431.38,-4.09333333333334,13.6566666666667,-2.65203928430908,0.0438980556605202,0.552958268703326,-4.59021315361726
"ENSG00000069329.16","ENST00000299138.11,ENST00000561713.1,ENST00000562420.1,ENST00000563884.1,ENST00000563984.1,ENST00000565228.1,ENST00000568191.1,ENST00000568612.5,ENST00000568642.5,ENST00000568784.6,ENST00000569950.1,ENST00000640313.1",2669.52,2428.84,-7.23,18.675,-2.64932923498353,0.0440440766724226,0.552958268703326,-4.59021907298414
"ENSG00000187840.4","ENST00000338825.4,ENST00000520657.1",983.81,743.03,-8.81333333333334,18.8733333333333,-2.64754132576177,0.0441407023459556,0.552958268703326,-4.59022298250813
"ENSG00000184009.9","ENST00000331925.6,ENST00000570382.1,ENST00000571691.5,ENST00000571721.5,ENST00000572105.6,ENST00000573283.5,ENST00000574671.5,ENST00000575087.5,ENST00000575659.5,ENST00000575842.5,ENST00000575994.5,ENST00000576209.5,ENST00000576214.2,ENST00000576544.5,ENST00000576917.5,ENST00000615544.4",1381.65,1140.93,-142.926666666667,491.72,-2.64471617000819,0.0442938577606062,0.552958268703326,-4.59022916713172
"ENSG00000184260.5","ENST00000331380.3",390,150.12,-86.3266666666667,143.593333333333,-2.6447020238271,0.044294626104117,0.552958268703326,-4.59022919812112
"ENSG00000180817.11","ENST00000373230.7,ENST00000373232.7,ENST00000460755.1,ENST00000495346.1,ENST00000610026.1,ENST00000625364.1",1302.72,1061.95,-15.84,36.8133333333333,-2.64294037743884,0.0443904231302535,0.552958268703326,-4.5902330589633
"ENSG00000135069.13","ENST00000347159.6,ENST00000376588.3",2096.13,1855.35,-5.01,10.4716666666667,-2.64208186692076,0.0444371903615132,0.552958268703326,-4.59023494169488
"ENSG00000278588.1","ENST00000377733.3",381,141.31,-87.9566666666667,140.571666666667,-2.64135730551891,0.0444767026467371,0.552958268703326,-4.59023653129106
"ENSG00000213741.9","ENST00000245458.10,ENST00000396020.7,ENST00000539688.1,ENST00000554075.1,ENST00000556230.1,ENST00000557111.5,ENST00000557367.2,ENST00000557519.1",298.99,64.83,-406.213333333334,1121.21,-2.6388696925254,0.0446126514127939,0.552958268703326,-4.59024199310538
"ENSG00000128944.13","ENST00000249776.12,ENST00000416151.6,ENST00000448395.6,ENST00000557920.1,ENST00000559083.1,ENST00000559304.5,ENST00000559591.5,ENST00000559604.1,ENST00000560220.5,ENST00000560321.5,ENST00000560673.1,ENST00000560981.5,ENST00000561169.5,ENST00000561196.5,ENST00000561367.1,ENST00000608100.5",1432.09,1191.31,-4.76333333333334,16.445,-2.63415588541709,0.0448715096520865,0.552958268703326,-4.59025236106742
"ENSG00000048544.5","ENST00000053468.3",2110,1869.22,-5.18666666666667,10.08,-2.63345404558134,0.0449101912922558,0.552958268703326,-4.59025390680699
